ID	PP	logFC	P.adjusted
ADAMTS19	other	0.199953333	0.860160534
ADAMTS2	other	-0.419766667	0.473631365
ADAMTS20	other	-0.329376667	0.733941077
ADAMTS3	other	0.346333333	0.619017135
ADAMTS4	other	-0.95419	0.134137449
ADAMTS5	other	-1.255373333	0.013357613
ADAMTS6	other	0.001636667	1
ADAMTS8	other	0.365393333	0.768653851
ADAMTS9	other	-0.234973333	0.717512371
ADAMTSL1	other	-0.40949	0.595280286
ADAMTSL2	other	0.069216667	0.968816887
ADAMTSL3	other	-0.164206667	0.85356247
ADAMTSL4	other	-0.358716667	0.527440112
ADAMTSL5	other	0.38801	0.651163904
ADAP1	other	-0.523223333	0.336445009
ADAP2	other	-0.179683333	0.701364263
ADAR	other	0.07573	0.843873306
ADARB1	other	-0.163916667	0.706246838
ADARB2	other	-0.24249	0.789746776
ADAT1	other	-0.102086667	0.811490089
ADAT2	other	-0.485483333	0.177070296
ADAT3	other	-0.46425	0.341219044
ADC	other	0.37167	0.480785451
ADCK1	other	-0.32144	0.1964446
ADCK2	other	-0.171373333	0.581212435
ADCK4	other	-0.13936	0.71831764
ADCK5	other	0.365673333	0.540747811
ADCY1	other	-0.13638	0.911600855
ADCY10	other	0.200363333	0.749395496
ADCY2	other	-0.071436667	0.974423929
ADCY3	other	-0.37561	0.35561841
ADCY4	other	-0.582283333	0.125475606
ADCY5	other	1.03451	0.310959707
ADCY6	other	0.30488	0.354104418
ADCY7	other	0.239136667	0.524188402
ADCY8	other	0.902226667	0.177603377
ADCY9	other	0.936023333	0.008636364
ADCYAP1	other	0.155693333	0.927366808
ADCYAP1R1	other	-0.13141	0.708841492
ADD1	other	0.183653333	0.330812193
ADD2	other	0.257193333	0.777586928
ADD3	other	-0.584636667	0.181262225
ADH1A	other	0.847323333	0.19632903
ADH1B	other	1.425343333	0.241688063
ADH1C	other	-0.26323	0.903552763
ADH4	other	-1.065743333	0.072657982
ADH5	other	0.105073333	0.739689656
ADH6	other	-1.178373333	0.274081358
ADH7	other	0.03188	1
ADHFE1	other	0.06163	0.988720994
ADI1	other	-0.023026667	0.995728385
ADIG	other	0.014596667	0.717406041
ADIPOQ	other	0.30082	0.655391041
ADIPOR1	other	-0.199553333	0.368450915
ADIPOR2	other	-0.290476667	0.262964389
ADK	other	0.435953333	0.188573605
ADM	other	-0.733086667	0.283653063
ADM2	other	-0.167843333	0.847815243
ADNP	other	0.147766667	0.617984578
ADNP2	other	0.120796667	0.614862908
ADO	other	-0.031	0.94689919
ADORA1	other	0.44954	0.728281225
ADORA2A	other	-0.289206667	0.448894735
ADORA2B	other	0.479023333	0.352712182
ADORA3	other	0.2037	0.81612639
ADPGK	other	-0.368803333	0.075666376
ADPRH	other	-0.187036667	0.608762622
ADPRHL1	other	-0.7595	0.17538314
ADPRHL2	other	-0.15117	0.525856516
ADRA1A	other	0.299463333	0.593846306
ADRA1B	other	1.28767	0.054380783
ADRA1D	other	-0.22966	0.717098098
ADRA2A	other	0.663113333	0.519142125
ADRA2B	other	0.059036667	0.972017131
ADRA2C	other	-1.249646667	0.196503252
ADRB1	other	0.566826667	0.571001319
ADRB2	other	0.73599	0.22735188
ADRB3	other	0.7453	0.18946315
ADRBK1	other	-0.10646	0.778678249
ADRBK2	other	0.20741	0.701453857
ADRM1	other	-0.302036667	0.304301095
ADSL	other	-0.055376667	0.897253288
ADSS	other	-0.086613333	0.761283436
ADSSL1	other	-0.615613333	0.45079918
AEBP1	other	-0.29165	0.656613386
AEBP2	other	0.370513333	0.112508571
AEN	other	-0.331273333	0.311397098
AES	other	0.007653333	1
AFAP1	other	0.23763	0.46223314
AFAP1L1	other	-0.640506667	0.044275104
AFAP1L2	other	-0.27614	0.719534774
AFF1	other	0.268936667	0.319177047
AFF2	other	0.203133333	0.879252803
AFF3	other	0.61876	0.387528828
AFF4	other	0.432113333	0.02645616
AFG3L2	other	0.0818	0.780748015
AFM	other	-0.003483333	1
AFMID	other	-0.384743333	0.232283745
AFP	other	-0.835106667	0.358831399
AFTPH	other	0.15635	0.362772307
AGA	other	-0.261006667	0.526526347
AGAP1	other	0.439643333	0.20589023
AGAP2	other	-0.41626	0.346780724
AGAP3	other	0.01842	1
AGBL1	other	-0.391243333	0.448894735
AGBL2	other	-0.072153333	0.981428398
AGBL3	other	0.037823333	0.989111973
AGBL4	other	0.128146667	0.921786011
AGBL5	other	0.168863333	0.513516907
AGER	other	0.15583	0.962358582
AGFG1	other	-0.377506667	0.052415227
AGFG2	other	-0.114123333	0.813417862
AGGF1	other	0.10588	0.600167474
AGK	other	0.0485	0.860157801
AGL	other	0.474723333	0.205473201
AGMAT	other	-1.060063333	0.010797961
AGPAT1	other	0.06919	0.790001968
AGPAT2	other	0.6523	0.091759446
AGPAT3	other	0.045756667	0.921786011
AGPAT4	other	-0.42719	0.276236287
AGPAT5	other	-0.137693333	0.748219565
AGPAT6	other	-0.065016667	0.92326446
AGPAT9	other	-0.407093333	0.511723551
AGPHD1	other	-0.389193333	0.557261362
AGPS	other	0.065793333	0.849835163
AGR2	other	-1.747023333	0.047508677
AGR3	other	-1.05216	0.308513642
AGRN	other	-0.029713333	1
AGRP	other	0.26289	0.687147088
AGT	other	-0.775523333	0.505742369
AGTPBP1	other	-0.085296667	0.790875066
AGTR1	other	0.307213333	0.797674732
AGTR2	other	0.082223333	1
AGTRAP	other	-0.637876667	0.058918578
AGXT	other	0.08433	0.667480048
AGXT2	other	0.55291	0.198192496
AGXT2L1	other	-1.219116667	0.42061661
AGXT2L2	other	-0.12616	0.793223933
AHCTF1	other	0.04511	0.9276706
AHCY	other	-0.18694	0.64806929
AHCYL1	other	0.178483333	0.408525645
AHCYL2	other	-0.308496667	0.705557226
AHDC1	other	0.266846667	0.557468995
AHI1	other	0.030113333	0.980970474
AHNAK	other	0.006376667	1
AHNAK2	other	0.265993333	0.801681542
AHR	other	0.22277	0.652474443
AHRR	other	0.0185	1
AHSA1	other	-0.052323333	0.924266992
AHSA2	other	-0.283383333	0.67457985
AHSG	other	-0.565733333	0.27911635
AHSP	other	-0.110173333	0.677966406
AICDA	other	-0.550833333	0.425083916
AIDA	other	-0.16817	0.391795427
AIF1	other	-0.187276667	0.774656003
AIF1L	other	0.27057	0.772428886
AIFM1	other	-0.10928	0.673063494
AIFM2	other	-0.695356667	0.058322711
AIFM3	other	0.438493333	0.580530197
AIG1	other	-0.00512	1
AIM1	other	0.214396667	0.812604199
AIM1L	other	-1.62742	0.072469931
AIM2	other	0.314206667	0.836358254
AIMP1	other	-0.052743333	0.806289973
AIMP2	other	-0.218546667	0.555469566
AIP	other	0.23325	0.510485453
AIPL1	other	-0.152876667	0.336218478
AIRE	other	0.014613333	1
AJAP1	other	-0.273143333	0.717171245
AK1	other	0.94128	0.030431504
AK2	other	0.35143	0.190467911
AK3	other	-0.00991	1
AK5	other	0.378586667	0.501586821
AK7	other	-0.276816667	0.785455667
AKAP1	other	0.694706667	0.010797961
AKAP10	other	0.137576667	0.63775773
AKAP11	other	0.208766667	0.357836413
AKAP12	other	-1.454636667	0.035229227
AKAP13	other	0.069063333	0.928881859
AKAP14	other	0.22655	0.883120784
AKAP3	other	-0.427336667	0.416555103
AKAP4	other	-0.0039	1
AKAP5	other	-0.16553	0.796541411
AKAP6	other	0.83524	0.112471017
AKAP7	other	-0.000243333	1
AKAP8	other	-0.045986667	0.852111388
AKAP8L	other	0.109483333	0.693839476
AKAP9	other	0.143763333	0.724559518
AKD1	other	-0.06294	0.946012748
AKIRIN1	other	0.09286	0.73573655
AKIRIN2	other	-0.02274	0.981776542
AKNA	other	-0.05746	0.936511982
AKNAD1	other	-0.52272	0.071304152
AKR1A1	other	-0.388416667	0.07146766
AKR1B1	other	-0.51585	0.41399194
AKR1B10	other	-3.83527	0.030045764
AKR1B15	other	-2.454296667	0.048499727
AKR1C1	other	-3.348616667	0.004774532
AKR1C2	other	-3.67502	0.013343549
AKR1C3	other	-1.716283333	0.07675725
AKR1C4	other	-1.673943333	0.033997745
AKR1CL1	other	-0.473096667	0.138724348
AKR1D1	other	-0.207383333	0.561650152
AKR1E2	other	-0.536043333	0.553899174
AKR7A2	other	0.025406667	0.968403205
AKR7A3	other	-0.448693333	0.801801692
AKR7L	other	-0.263993333	0.861623673
AKT1	other	-0.04882	0.928256047
AKT1S1	other	-0.355173333	0.166627881
AKT2	other	-0.01035	1
AKT3	other	0.074963333	0.9528431
AKTIP	other	0.140636667	0.571575882
ALAD	other	0.097493333	0.752271478
ALAS1	other	0.204623333	0.446745441
ALAS2	other	-0.003786667	1
ALB	other	0.8037	0.581411045
ALCAM	other	0.300426667	0.504460766
ALDH16A1	other	-0.338103333	0.502286063
ALDH18A1	other	-0.230226667	0.450628156
ALDH1A1	other	-0.59924	0.404127017
ALDH1A2	other	1.258903333	0.212410028
ALDH1A3	other	-0.037573333	1
ALDH1B1	other	0.1516	0.777233554
ALDH1L1	other	-0.51612	0.677561555
ALDH1L2	other	0.06787	0.971861592
ALDH2	other	-0.496816667	0.244930732
ALDH3A1	other	-2.531516667	0.072823919
ALDH3A2	other	0.02186	1
ALDH3B1	other	-0.355053333	0.630905455
ALDH3B2	other	-0.906416667	0.346242876
ALDH4A1	other	-0.19534	0.602294589
ALDH5A1	other	0.067093333	0.955852981
ALDH6A1	other	0.492186667	0.21990766
ALDH7A1	other	0.077146667	0.867603767
ALDH8A1	other	-0.21963	0.693490512
ALDH9A1	other	-0.14014	0.696936818
ALDOA	other	-0.32256	0.31972459
ALDOB	other	0.32711	0.801772802
ALDOC	other	0.09793	0.921786011
ALG1	other	-0.054576667	0.902681625
ALG12	other	-0.07194	0.83230848
ALG13	other	-0.128363333	0.593975729
ALG14	other	-0.347946667	0.178249664
ALG1L	other	-0.10922	0.96708698
ALG2	other	-0.220743333	0.245259416
ALG3	other	-0.225166667	0.390281133
ALG5	other	0.022856667	1
ALG6	other	0.05186	0.907858773
ALG8	other	-0.2504	0.296308133
ALG9	other	-0.02865	0.963201868
ALK	other	0.42415	0.652338625
ALKBH1	other	0.24474	0.205753428
ALKBH2	other	-0.011616667	1
ALKBH3	other	0.001906667	1
ALKBH4	other	-0.053113333	0.857994252
ALKBH5	other	0.075876667	0.757576245
ALKBH6	other	-0.214933333	0.562590331
ALKBH7	other	-0.041686667	0.982670042
ALKBH8	other	0.301056667	0.385423053
ALLC	other	0.072883333	0.917830718
ALMS1	other	0.384786667	0.231203816
ALMS1P	other	0.338926667	0.496309501
ALOX12	other	-0.229136667	0.641959717
ALOX12B	other	0.730766667	0.177603377
ALOX12P2	other	-1.181046667	0.259474229
ALOX15	other	0.202103333	0.947183927
ALOX15B	other	1.331033333	0.066386105
ALOX5	other	-0.15773	0.844381405
ALOX5AP	other	0.279276667	0.676577501
ALOXE3	other	-0.166906667	0.860940648
ALPI	other	-0.190643333	0.16349274
ALPK1	other	-0.262476667	0.292278451
ALPK2	other	-1.196593333	0.044555546
ALPK3	other	0.062406667	0.998965154
ALPL	other	-0.402933333	0.667480048
ALPP	other	-1.0194	0.377355628
ALPPL2	other	-0.681743333	0.666413034
ALS2	other	0.131716667	0.537684004
ALS2CL	other	-0.437123333	0.564906833
ALS2CR11	other	1.026083333	0.287395514
ALS2CR12	other	0.110573333	0.937258508
ALS2CR8	other	0.278043333	0.3784862
ALX1	other	-0.42947	0.575987159
ALX4	other	0.052776667	0.801457464
AMACR	other	-0.179793333	0.537684004
AMBN	other	0.053996667	0.827950382
AMBP	other	0.025496667	1
AMBRA1	other	0.432553333	0.016325744
AMD1	other	-0.19441	0.493661289
AMDHD1	other	-0.994756667	0.199540793
AMDHD2	other	-0.406076667	0.333295813
AMELX	other	0.018333333	0.69545817
AMELY	other	-0.079093333	0.692407454
AMFR	other	-0.155096667	0.561650152
AMH	other	0.623096667	0.530149354
AMHR2	other	0.917256667	0.022115478
AMICA1	other	-0.151296667	0.835378721
AMIGO1	other	0.394926667	0.396243468
AMIGO2	other	0.867476667	0.13428092
AMIGO3	other	-0.087286667	0.88380939
AMMECR1	other	-0.08143	0.839660459
AMMECR1L	other	0.34455	0.016162268
AMN	other	-0.579293333	0.691167249
AMN1	other	-0.082543333	0.888623481
AMOT	other	0.260326667	0.830627466
AMOTL1	other	0.218546667	0.645892761
AMOTL2	other	0.272453333	0.581524154
AMPD1	other	0.546213333	0.525917836
AMPD2	other	-0.19568	0.519835941
AMPD3	other	-0.382273333	0.189581633
AMPH	other	0.23036	0.878404766
AMT	other	0.2711	0.746299002
AMTN	other	0.22726	0.649328531
AMZ1	other	-0.303816667	0.607816052
AMZ2	other	0.20894	0.231796308
AMZ2P1	other	0.273033333	0.442299011
ANAPC1	other	0.12223	0.7475742
ANAPC10	other	0.10644	0.693838401
ANAPC11	other	0.057833333	0.933836995
ANAPC13	other	-0.12511	0.667480048
ANAPC16	other	-0.04496	0.91977131
ANAPC2	other	-0.007746667	1
ANAPC4	other	0.097696667	0.667480048
ANAPC5	other	-0.110803333	0.659901437
ANAPC7	other	-0.15538	0.5332983
ANG	other	-0.424033333	0.583733032
ANGEL1	other	-0.10243	0.762532988
ANGEL2	other	0.06152	0.836358254
ANGPT1	other	0.3708	0.571225021
ANGPT2	other	-0.530973333	0.374948934
ANGPT4	other	-0.027333333	0.993367896
ANGPTL1	other	-0.31522	0.638167108
ANGPTL2	other	-0.54146	0.187516604
ANGPTL3	other	-0.30567	0.646147466
ANGPTL4	other	-0.21879	0.886226525
ANGPTL5	other	0.245836667	0.638167108
ANGPTL6	other	-0.480906667	0.388372436
ANGPTL7	other	0.084206667	0.918017708
ANK1	other	-0.719356667	0.239338787
ANK2	other	0.147343333	0.86790157
ANK3	other	0.412563333	0.616462672
ANKAR	other	-0.12281	0.799846488
ANKDD1A	other	-0.066843333	0.915680808
ANKFN1	other	0.413353333	0.744532664
ANKFY1	other	0.119486667	0.683641572
ANKH	other	-0.454036667	0.268329338
ANKHD1	other	0.521626667	0.027460065
ANKHD1-EIF4EBP3	other	0.323906667	0.311089383
ANKIB1	other	0.09671	0.745414321
ANKK1	other	0.284406667	0.780292639
ANKLE1	other	0.288876667	0.718437425
ANKLE2	other	-0.210236667	0.425786504
ANKMY1	other	-0.104103333	0.871696663
ANKMY2	other	0.07189	0.843549335
ANKRA2	other	0.030523333	0.954714434
ANKRD1	other	-0.787973333	0.399312281
ANKRD10	other	-0.05471	0.931012849
ANKRD11	other	0.06207	0.882993276
ANKRD12	other	0.330853333	0.274178446
ANKRD13A	other	0.32352	0.212410028
ANKRD13B	other	0.52691	0.318906536
ANKRD13C	other	0.28033	0.149224333
ANKRD13D	other	-0.07434	0.909322478
ANKRD16	other	-0.139333333	0.746250095
ANKRD17	other	0.212603333	0.359020029
ANKRD2	other	-0.833493333	0.027460065
ANKRD20A3	other	0.256286667	0.638086478
ANKRD22	other	0.072413333	0.987368876
ANKRD23	other	0.259586667	0.645581406
ANKRD24	other	0.561966667	0.501586821
ANKRD26	other	0.128076667	0.788941014
ANKRD26P1	other	-0.126903333	0.608811794
ANKRD27	other	-0.004806667	1
ANKRD28	other	0.455633333	0.012267397
ANKRD29	other	0.445143333	0.626023838
ANKRD30A	other	0.037883333	0.748219565
ANKRD30B	other	0.052513333	0.921786011
ANKRD31	other	0.321236667	0.450315468
ANKRD32	other	-0.161826667	0.788845519
ANKRD33	other	0.50949	0.389203509
ANKRD34A	other	1.31712	0.015804374
ANKRD34B	other	0.657226667	0.667480048
ANKRD34C	other	-0.018526667	0.983168601
ANKRD35	other	-0.58596	0.266229136
ANKRD36	other	-0.01933	1
ANKRD36B	other	0.339036667	0.475798906
ANKRD36BP1	other	0.12967	0.838925889
ANKRD37	other	0.356166667	0.599204643
ANKRD39	other	-0.02636	0.992617245
ANKRD40	other	0.432226667	0.00779234
ANKRD42	other	-0.10655	0.749604905
ANKRD43	other	0.714096667	0.316344554
ANKRD44	other	0.517543333	0.380082978
ANKRD45	other	-0.075583333	0.992010442
ANKRD46	other	0.387326667	0.232610027
ANKRD49	other	0.071706667	0.86890642
ANKRD5	other	-0.049096667	0.955948175
ANKRD50	other	0.775503333	0.008366214
ANKRD52	other	0.033453333	0.965364323
ANKRD53	other	0.338616667	0.584610664
ANKRD54	other	-0.120366667	0.688981546
ANKRD55	other	0.614806667	0.3246029
ANKRD56	other	0.406713333	0.627214479
ANKRD57	other	-0.303266667	0.390776082
ANKRD58	other	-0.404996667	0.327262869
ANKRD6	other	0.356936667	0.356398331
ANKRD7	other	-0.187863333	0.819953674
ANKRD9	other	-0.493916667	0.309588867
ANKS1A	other	0.28465	0.257312969
ANKS1B	other	-0.092886667	0.951923217
ANKS3	other	-0.067473333	0.9507378
ANKS4B	other	-1.06784	0.489387359
ANKS6	other	-0.005956667	1
ANKZF1	other	-0.156726667	0.647147498
ANLN	other	-0.63808	0.311757114
ANO1	other	0.136053333	0.920954854
ANO10	other	-0.177773333	0.486855531
ANO2	other	0.046283333	0.982178941
ANO3	other	-1.670126667	0.108640346
ANO4	other	0.281496667	0.843549335
ANO5	other	0.252316667	0.854168147
ANO6	other	0.11677	0.772890821
ANO7	other	-0.81648	0.026964033
ANO8	other	0.029193333	0.996069258
